p_val avg_logFC pct.1 pct.2 p_val_adj cluster gene
CD741 1.1901183861749e-18 1.5507986683865 1 0.842 3.89620957265938e-14 7 CD74
ZNF385A 1.46784265489611e-17 0.496140527857427 0.371 0.046 4.80542328359889e-13 7 ZNF385A
AP1S22 1.62856795986522e-17 1.00933968394295 0.943 0.289 5.33160578700676e-13 7 AP1S2
RNF1302 1.85163872090702e-17 0.815768887485146 0.771 0.172 6.06189484450539e-13 7 RNF130
LAP31 1.04952996933279e-16 0.662562373308039 0.714 0.148 3.4359512136017e-12 7 LAP3
LGALS21 1.06719531361951e-16 1.05048116101398 0.829 0.206 3.49378401772754e-12 7 LGALS2
SPINT2 1.12016391654649e-16 0.775300090989736 0.686 0.149 3.66719262998989e-12 7 SPINT2
CTSH2 2.38509629660102e-16 0.722565678723318 0.743 0.17 7.80832825581242e-12 7 CTSH
TRIM33 5.41140725724957e-16 0.290693228246508 0.286 0.03 1.77158650787836e-11 7 TRIM33
C12orf45 5.86226610344976e-16 0.278339814481715 0.314 0.036 1.91918867694738e-11 7 C12orf45
HAVCR21 7.00839875219625e-16 0.313591451339112 0.343 0.042 2.29440958349401e-11 7 HAVCR2
FUOM 7.34425728431328e-16 0.577138621008134 0.429 0.065 2.40436294973848e-11 7 FUOM
BLNK 2.0756460711498e-15 0.302441618119675 0.314 0.037 6.79525010773021e-11 7 BLNK
RGS1 2.12841865814246e-15 0.546747295347968 0.543 0.099 6.96801700302679e-11 7 RGS1
TGFBI2 4.20895852229357e-15 0.574028196414892 0.543 0.101 1.37792884102847e-10 7 TGFBI
LY862 9.92624880017566e-15 0.765333356722206 0.743 0.184 3.24965533220151e-10 7 LY86
TNFAIP2 1.32282528666955e-14 0.441542038678391 0.4 0.061 4.33066542349877e-10 7 TNFAIP2
GPX11 1.95200697194782e-14 0.889826172175677 1 0.415 6.39048042476277e-10 7 GPX1
SPI12 2.44458561851929e-14 0.703028905991968 0.8 0.206 8.00308439790846e-10 7 SPI1
CAPG1 2.48691928166315e-14 0.86176107679594 0.8 0.225 8.14167634430881e-10 7 CAPG
FCGRT2 3.03406265819226e-14 0.65958761941846 0.829 0.226 9.93291433038982e-10 7 FCGRT
ARF3 4.054990618781e-14 0.434567574665983 0.486 0.086 1.32752282877652e-09 7 ARF3
CFP2 4.56725561621182e-14 1.03811200379048 0.771 0.201 1.49522814363543e-09 7 CFP
H2AFY2 4.72667452529902e-14 0.684544574979682 0.914 0.29 1.54741870609239e-09 7 H2AFY
DDAH2 5.72023831270803e-14 0.582259001876756 0.4 0.065 1.87269161881435e-09 7 DDAH2
GSTP11 6.84337430065747e-14 0.99981225779241 1 0.453 2.24038387854924e-09 7 GSTP1
TPM4 1.23975203473603e-13 0.387418292377112 0.6 0.124 4.05870021131883e-09 7 TPM4
FAM105A 1.88717593468649e-13 0.45637476133355 0.371 0.057 6.17823657497663e-09 7 FAM105A
LSP12 2.42201657244745e-13 0.734774435694757 1 0.54 7.92919785487847e-09 7 LSP1
VCL 2.8014017119496e-13 0.292739126898826 0.286 0.036 9.17122892458060e-09 7 VCL
IGFLR1 3.20220613101575e-13 0.356280339435685 0.429 0.072 1.04833824317194e-08 7 IGFLR1
LYZ1 4.3260955795333e-13 1.2200196072593 0.971 0.6 1.41627717082761e-08 7 LYZ
MBOAT7 5.84934990768506e-13 0.381903320938435 0.343 0.051 1.91496017277793e-08 7 MBOAT7
MNDA2 1.09828278254814e-12 0.645746697284546 0.543 0.121 3.5955581735061e-08 7 MNDA
IFI302 1.22469477693151e-12 0.531954227455194 0.657 0.159 4.00940576071837e-08 7 IFI30
CYSTM1 1.48925943423166e-12 0.344375005676645 0.343 0.052 4.8755375357876e-08 7 CYSTM1
CD861 1.5408754104159e-12 0.368661153034072 0.343 0.053 5.04451791861958e-08 7 CD86
MGST2 1.66470317959793e-12 0.391420194031558 0.257 0.032 5.44990526936771e-08 7 MGST2
FABP5 2.27635881512393e-12 0.496772215505038 0.257 0.033 7.45234348895274e-08 7 FABP5
VIM2 3.22777436505867e-12 0.951171259658835 1 0.799 1.05670877163291e-07 7 VIM
LGALS92 3.23011336404984e-12 0.512614499071221 0.686 0.168 1.05747451312264e-07 7 LGALS9
SAMHD11 4.80273466496914e-12 0.621732029801523 0.8 0.235 1.5723192746176e-07 7 SAMHD1
UBL7 7.42295721274528e-12 0.352748454128272 0.457 0.087 2.43012773230855e-07 7 UBL7
MS4A6A1 7.70030695869383e-12 0.614642016139053 0.6 0.153 2.52092649213719e-07 7 MS4A6A
ANXA22 7.80247798233043e-12 0.863012252256189 0.943 0.431 2.55437524185534e-07 7 ANXA2
FDFT1 1.92536123258438e-11 0.495762991698962 0.543 0.122 6.30324760323473e-07 7 FDFT1
PAK11 1.93603434501188e-11 0.385179489065222 0.314 0.05 6.33818923869991e-07 7 PAK1
KIAA0930 2.06985142015836e-11 0.348224965638814 0.257 0.035 6.77627957931445e-07 7 KIAA0930
BZW2 2.70838066114746e-11 0.362535772337731 0.429 0.081 8.86669660846456e-07 7 BZW2
AP2S12 2.83379504722337e-11 0.611594670275919 0.914 0.346 9.27727822559987e-07 7 AP2S1
PTPRE 4.26088235759116e-11 0.377363752834645 0.429 0.084 1.39492766622819e-06 7 PTPRE
LGALS12 4.69830603669199e-11 0.903934548723827 0.943 0.471 1.53813143029222e-06 7 LGALS1
BID2 6.25977637557987e-11 0.487807511157443 0.714 0.2 2.04932558983734e-06 7 BID
CTSZ2 6.88209135535856e-11 0.514650516491046 0.486 0.108 2.25305906791728e-06 7 CTSZ
TYMP2 6.90438127151565e-11 0.724852820102019 0.943 0.341 2.26035634066879e-06 7 TYMP
PLEKHO11 7.8191004383689e-11 0.404155819616847 0.4 0.077 2.55981710151321e-06 7 PLEKHO1
TNFSF13B2 8.04743833913432e-11 0.601659743926083 0.6 0.156 2.6345703634658e-06 7 TNFSF13B
POMP1 1.00719427456101e-10 0.497067114379293 0.6 0.151 3.29735261605784e-06 7 POMP
RAB22A 1.23251387017531e-10 0.277035365953594 0.286 0.043 4.03500390817992e-06 7 RAB22A
SCAMP4 1.47073512080509e-10 0.262280005879481 0.257 0.036 4.81489263849172e-06 7 SCAMP4
GABARAP2 1.53711349832519e-10 0.656261023688296 1 0.483 5.032202170817e-06 7 GABARAP
NME1-NME2 1.64713242117331e-10 0.250138275126233 0.343 0.059 5.39238212043718e-06 7 NME1-NME2
RASSF4 1.77600548262548e-10 0.355071851387669 0.286 0.045 5.8142867490193e-06 7 RASSF4
KLF10 1.9694851199334e-10 0.386847847192188 0.257 0.038 6.44770038563797e-06 7 KLF10
PLSCR12 2.26479695897289e-10 0.543460907596632 0.543 0.136 7.41449228428544e-06 7 PLSCR1
COA5 2.83265958906426e-10 0.39195028719582 0.343 0.062 9.27356096267857e-06 7 COA5
HSH2D 3.5015855487737e-10 0.28137100525778 0.4 0.079 1.14634907695753e-05 7 HSH2D
UBE2E2 3.60529115285843e-10 0.315073388805111 0.257 0.038 1.18030021762279e-05 7 UBE2E2
TPP1 3.99914058034987e-10 0.402450274885215 0.429 0.09 1.30923864319494e-05 7 TPP1
FCER1G3 4.00679217840524e-10 0.472253642228342 0.971 0.35 1.31174362336631e-05 7 FCER1G
REPIN1 4.07161040619688e-10 0.318877910537233 0.314 0.054 1.33296381478074e-05 7 REPIN1
AMICA11 5.19118366698823e-10 0.720605477696137 0.743 0.257 1.69948970889861e-05 7 AMICA1
NECAP1 7.60271256813874e-10 0.267066563464148 0.286 0.046 2.48897604055726e-05 7 NECAP1
ERCC1 9.35043110743222e-10 0.396955279222096 0.486 0.114 3.06114413595116e-05 7 ERCC1
NDUFV3 9.45403785139747e-10 0.296886940111928 0.371 0.072 3.0950629117905e-05 7 NDUFV3
ITM2C 1.02197309644064e-09 0.79544703572333 0.314 0.058 3.34573552312737e-05 7 ITM2C
KPNA2 1.06957490061414e-09 0.3624646762319 0.257 0.04 3.50157430963056e-05 7 KPNA2
APOBR 1.08839979312697e-09 0.257905918562665 0.257 0.04 3.56320324273908e-05 7 APOBR
ACAA11 1.09031599392616e-09 0.387156230685373 0.543 0.134 3.56947650091547e-05 7 ACAA1
GNL2 1.2819365451356e-09 0.283340574864863 0.286 0.048 4.19680386146494e-05 7 GNL2
IFNAR1 1.3222101229544e-09 0.331283300583261 0.343 0.065 4.32865150052812e-05 7 IFNAR1
NCF22 1.36620572859384e-09 0.371148952735635 0.629 0.17 4.4726843142705e-05 7 NCF2
RNH12 1.48326340097103e-09 0.684086282134953 0.771 0.302 4.85590772209896e-05 7 RNH1
HSCB 1.61522204176052e-09 0.308528187927006 0.286 0.048 5.28791392031559e-05 7 HSCB
ACTB3 1.81071455424434e-09 0.538320797861354 1 0.993 5.92791730768513e-05 7 ACTB
EIF4A12 1.85936211634589e-09 0.553592962366854 1 0.681 6.08717969649319e-05 7 EIF4A1
MAP4K1 2.10564407953905e-09 0.341065822702195 0.343 0.066 6.89345758759493e-05 7 MAP4K1
PYCARD2 2.44037993715511e-09 0.537226963035717 0.914 0.364 7.9893158382584e-05 7 PYCARD
RAC12 2.52631180368161e-09 0.55477028953395 0.971 0.433 8.27063958289285e-05 7 RAC1
PRDX3 2.85806691314931e-09 0.346602947989618 0.514 0.13 9.35673946026822e-05 7 PRDX3
IL6R 3.16067472051343e-09 0.294570375618291 0.314 0.058 0.000103474169000169 7 IL6R
CMPK2 3.89578804105201e-09 0.302175941343935 0.314 0.059 0.000127540308887961 7 CMPK2
LST12 3.939231708075e-09 0.302040528912727 0.914 0.349 0.000128962567658959 7 LST1
BTK1 4.5564995695658e-09 0.334609051425853 0.371 0.079 0.000149170682908445 7 BTK
NAGK2 5.63981058048752e-09 0.362188310254682 0.486 0.119 0.000184636118784 7 NAGK
EIF4EBP12 5.86497555304488e-09 0.322374230380287 0.486 0.119 0.000192007569655583 7 EIF4EBP1
TAGLN2 6.82273247980896e-09 0.617348541007934 1 0.506 0.000223362615923986 7 TAGLN2
RAB322 8.11304089047459e-09 0.461624893349713 0.371 0.082 0.000265604732672357 7 RAB32
TYROBP3 8.55161365726739e-09 0.435356868497291 1 0.39 0.00027996272791162 7 TYROBP
EPSTI12 8.80343430383957e-09 0.495377297669409 0.6 0.177 0.0002882068322391 7 EPSTI1
BHLHE40 9.87891396775105e-09 0.447643026628818 0.286 0.053 0.000323415885476234 7 BHLHE40
ARF52 1.12215965465205e-08 0.552180100937745 0.8 0.292 0.000367372627739989 7 ARF5
SRGN3 1.19664117110583e-08 0.728269501372231 0.971 0.594 0.000391756386596628 7 SRGN
WDR61 1.29357182879991e-08 0.356726645364834 0.457 0.11 0.000423489545312514 7 WDR61
ARPC1B2 1.32811689374287e-08 0.49845220237913 1 0.745 0.000434798908673542 7 ARPC1B
FES 1.33244290516172e-08 0.268687030233912 0.257 0.044 0.000436215158291844 7 FES
AKIRIN21 1.35594139008604e-08 0.415562203725123 0.486 0.124 0.000443908092286368 7 AKIRIN2
UNC93B11 1.36254065468912e-08 0.340528751076794 0.371 0.081 0.000446068559532123 7 UNC93B1
EMC8 1.73097185779064e-08 0.298228479698046 0.343 0.071 0.000566685566803501 7 EMC8
CD300C1 1.76103496818307e-08 0.300119880036706 0.257 0.045 0.000576527627883775 7 CD300C
TUBA1B1 2.11562233116031e-08 0.752062088039283 0.857 0.426 0.000692612438775261 7 TUBA1B
CYC11 2.52080805626185e-08 0.425707351069437 0.629 0.188 0.000825262141459006 7 CYC1
GNB11 2.52198479151036e-08 0.335996529124144 0.457 0.114 0.000825647381044662 7 GNB1
ANXA52 2.53153817056377e-08 0.511163353165226 0.8 0.301 0.000828774966279166 7 ANXA5
NAGA 2.54247632750586e-08 0.284042974127336 0.257 0.046 0.000832355900098868 7 NAGA
CCDC22 2.78555914027361e-08 0.254629094896394 0.257 0.045 0.000911936351342775 7 CCDC22
CEBPD1 2.79257239747923e-08 0.543536576095636 0.657 0.219 0.00091423235148675 7 CEBPD
CDKN1A 2.94456864598558e-08 0.491144073086958 0.314 0.068 0.000963992883322758 7 CDKN1A
HEXA 3.58526655548611e-08 0.311507466219657 0.4 0.094 0.00117374456493504 7 HEXA
BLVRB1 3.86454888585635e-08 0.414178511783736 0.543 0.157 0.00126517601425165 7 BLVRB
C17orf49 3.89547419045605e-08 0.374054328704768 0.4 0.096 0.0012753003404715 7 C17orf49
SLC35B1 4.23474911996089e-08 0.321105936902588 0.314 0.065 0.0013863721668928 7 SLC35B1
ARMC10 4.27671140651992e-08 0.279555831285116 0.314 0.064 0.00140010978026649 7 ARMC10
EI24 4.31666135891617e-08 0.308690546602432 0.343 0.074 0.00141318859568198 7 EI24
MPST 4.64690140836225e-08 0.392237084961389 0.286 0.056 0.00152130258306963 7 MPST
DNAJC4 4.66812676732382e-08 0.346880665291479 0.457 0.117 0.00152825134108647 7 DNAJC4
PER1 4.83218255098613e-08 0.255321263742217 0.257 0.046 0.00158195992354184 7 PER1
MLEC 5.15029033722906e-08 0.30330029868171 0.286 0.056 0.00168610205060205 7 MLEC
APIP 5.47593134076739e-08 0.269867110435637 0.343 0.075 0.00179271040234043 7 APIP
PQBP1 5.57299419048474e-08 0.261355601006185 0.543 0.155 0.0018244868380809 7 PQBP1
RGS22 5.77564162979606e-08 0.526261961925429 0.743 0.271 0.00189082955676263 7 RGS2
LAMTOR11 6.17897881024642e-08 0.421442462293136 0.857 0.337 0.00202287408289847 7 LAMTOR1
NIPSNAP3A 6.91257673298311e-08 0.296105737914863 0.314 0.066 0.00226303937084401 7 NIPSNAP3A
CFDP1 7.48173290299317e-08 0.45236844040434 0.4 0.103 0.0024493697177819 7 CFDP1
S100A102 7.68807740630482e-08 0.75592711232404 0.914 0.638 0.00251692278127607 7 S100A10
MAGEF1 7.86506579233036e-08 0.339816543217992 0.286 0.057 0.00257486523909311 7 MAGEF1
GAPDH1 8.69843246905865e-08 0.502206870645919 1 0.849 0.00284769282172042 7 GAPDH
LMNA 8.86004506231567e-08 0.656821504707802 0.286 0.06 0.0029006015525009 7 LMNA
FGR3 9.27295233104216e-08 0.407823929074857 0.657 0.21 0.00303577913413658 7 FGR
NDUFV1 1.02175734344564e-07 0.352865175584155 0.486 0.132 0.00334502919097234 7 NDUFV1
CSF1R1 1.19296144582003e-07 0.339625577138833 0.314 0.068 0.00390551718132562 7 CSF1R
TMSB101 1.23756778694132e-07 0.341219724642142 1 0.993 0.00405154942088849 7 TMSB10
SCIMP1 1.25399596622303e-07 0.308573486013397 0.343 0.078 0.00410533199422094 7 SCIMP
AKR1A1 1.37318555256049e-07 0.307548487265478 0.514 0.144 0.00449553486197255 7 AKR1A1
COTL12 1.40066711485672e-07 0.542256805999228 0.943 0.625 0.00458550400061792 7 COTL1
MAP3K11 1.42943423412123e-07 0.305937795103029 0.286 0.059 0.00467968179566609 7 MAP3K11
NRROS 1.44707984274749e-07 0.27638511937746 0.286 0.058 0.00473744998918672 7 NRROS
PRELID12 1.4706077485971e-07 0.580318318406473 0.914 0.464 0.00481447564735718 7 PRELID1
UPF3B 1.52099700179461e-07 0.252603036803721 0.314 0.068 0.00497943998447521 7 UPF3B
HEBP2 1.6930175606722e-07 0.393341470013096 0.286 0.06 0.00554260089012866 7 HEBP2
PGLS2 1.76375364974284e-07 0.462753910873023 0.8 0.292 0.0057741766985281 7 PGLS
FIBP2 1.83130276634408e-07 0.290606619165008 0.571 0.167 0.00599531899645725 7 FIBP
SLC39A3 2.05676101311292e-07 0.414743433363347 0.286 0.06 0.00673342420472906 7 SLC39A3
ACTG11 2.14293151266837e-07 0.457679062208693 1 0.862 0.0070155291861737 7 ACTG1
ATG32 2.40030018346365e-07 0.415089328876367 0.629 0.207 0.0078581027406233 7 ATG3
YWHAE1 2.541014554689e-07 0.32185860743294 0.486 0.138 0.00831877344914085 7 YWHAE
NUP210 2.67535666947444e-07 0.253459334052694 0.314 0.07 0.00875858266452542 7 NUP210
GAPT 3.01265350109095e-07 0.294068698191395 0.286 0.061 0.00986282503187155 7 GAPT
APEX1 3.21622134743871e-07 0.4973827640099 0.657 0.234 0.0105292654472448 7 APEX1
REL 3.34965872823812e-07 0.486701806260117 0.4 0.105 0.010966112744506 7 REL
CMTM3 3.66947550363595e-07 0.36443945958525 0.514 0.153 0.0120131289038034 7 CMTM3
ATP5J23 4.06282413665139e-07 0.385547363815903 0.829 0.318 0.0133008736585693 7 ATP5J2
SAMD9L 4.10598273772106e-07 0.299626271124983 0.371 0.095 0.0134421662867512 7 SAMD9L
MICAL1 4.23909918169154e-07 0.331653654856157 0.257 0.053 0.0138779629010218 7 MICAL1
FBXO6 4.32734360856419e-07 0.357167963376694 0.257 0.052 0.0141668575057175 7 FBXO6
PRCP 4.61808919192163e-07 0.298725162404688 0.314 0.072 0.015118700396513 7 PRCP
C21orf2 4.6725926441487e-07 0.277137113298637 0.257 0.052 0.015297133798414 7 C21orf2
ARHGEF401 4.90906886232334e-07 0.293245131615634 0.257 0.053 0.0160713096414742 7 ARHGEF40
C1orf1623 5.0602674064148e-07 0.94818524257191 0.8 0.383 0.0165663034351208 7 C1orf162
CD83 5.23130689222305e-07 0.251420426191757 0.314 0.072 0.0171262525037598 7 CD83
FKBP3 5.23882027637712e-07 0.824210858130979 0.4 0.104 0.0171508498208034 7 FKBP3
CSTB2 5.27121884328713e-07 0.538881966044383 0.829 0.365 0.0172569162491534 7 CSTB
SF3B4 5.28191566845513e-07 0.258965524456345 0.343 0.082 0.0172919355153884 7 SF3B4
TMED10 5.28966266158241e-07 0.432121717755736 0.571 0.186 0.0173172976214885 7 TMED10
FAM46A1 6.03952961224099e-07 0.30753739399826 0.286 0.063 0.0197722120445546 7 FAM46A
OS9 6.19188926671417e-07 0.403004410073202 0.457 0.133 0.0202710070813689 7 OS9
CPPED12 6.42155823853257e-07 0.398032348394198 0.371 0.1 0.0210228973613079 7 CPPED1
SUMO3 7.11193476274206e-07 0.266602454202058 0.629 0.207 0.023283052026265 7 SUMO3
RPS111 8.02540281742394e-07 0.347161638385757 1 0.949 0.0262735637436825 7 RPS11
YIF1A 8.22503190367047e-07 0.274422747425597 0.371 0.095 0.0269271094462364 7 YIF1A
GNB22 8.81389882809427e-07 0.422751858230654 0.714 0.261 0.028854941983415 7 GNB2
MAP7D1 8.87796468173912e-07 0.254719340258382 0.314 0.074 0.0290646807750775 7 MAP7D1
LILRB21 9.54482431898145e-07 0.269411787120171 0.371 0.096 0.0312478458554815 7 LILRB2
LAMTOR22 9.69019261074135e-07 0.377837093298569 0.629 0.219 0.031723752569045 7 LAMTOR2
ATP2B11 9.7661311842934e-07 0.277837118216975 0.371 0.096 0.0319723602711397 7 ATP2B1
SNRPD1 1.04807906367012e-06 0.369564105792811 0.657 0.209 0.0343120123864325 7 SNRPD1
IRF81 1.10247293669204e-06 0.792956366359578 0.371 0.107 0.036092759001424 7 IRF8
HNRNPD 1.12543890108509e-06 0.259524112938118 0.4 0.106 0.0368446187437235 7 HNRNPD
DUSP23 1.1915739422326e-06 0.651223134983709 0.371 0.098 0.039009747720811 7 DUSP23
MRPS25 1.32147223608907e-06 0.268989279394969 0.286 0.065 0.0432623580650839 7 MRPS25
PPT12 1.34865458283647e-06 0.568483480280806 0.543 0.188 0.0441522537329005 7 PPT1
URM1 1.3732754798023e-06 0.336510953512448 0.429 0.123 0.0449582926577677 7 URM1
VAMP81 1.3796409979067e-06 0.485171768341923 0.943 0.502 0.0451666869894697 7 VAMP8
SLC25A62 1.57085660626061e-06 0.491689732189935 1 0.831 0.0514267035757599 7 SLC25A6
RAB7A1 1.61383239744619e-06 0.371188620407191 0.771 0.307 0.0528336450275933 7 RAB7A
DNM2 1.61645223450839e-06 0.291326272230384 0.286 0.066 0.0529194132533356 7 DNM2
RNF5 1.66024958384763e-06 0.253396484394496 0.486 0.143 0.0543532508760036 7 RNF5
FAM26F3 1.713611611165e-06 0.36513577924982 0.629 0.224 0.0561002169263198 7 FAM26F
CAT1 1.80110547676974e-06 0.842398434337095 0.429 0.136 0.0589645910984878 7 CAT
CYBA3 1.98094796365613e-06 0.425453679780506 1 0.845 0.0648522744341745 7 CYBA
VPS291 2.17656669971699e-06 0.335019444326269 0.571 0.192 0.0712564406153348 7 VPS29
NDUFAB1 2.22009048894629e-06 0.446992334906108 0.571 0.199 0.0726813224271237 7 NDUFAB1
S100A112 2.32468237095193e-06 0.302800482808906 1 0.52 0.0761054514602242 7 S100A11
CNPY31 2.3917982819271e-06 0.495638357382706 0.657 0.274 0.0783026921537293 7 CNPY3
NANS1 2.45425382628394e-06 0.25183206101437 0.4 0.112 0.0803473617648837 7 NANS
ICT1 2.46456857087844e-06 0.272116120363333 0.286 0.068 0.0806850458734184 7 ICT1
ATP6AP1 2.74122490268224e-06 0.342710786453273 0.314 0.081 0.0897422208640112 7 ATP6AP1
LARP7 2.8075425429036e-06 0.291501247156176 0.343 0.09 0.091913327769578 7 LARP7
TPGS1 2.84565002821657e-06 0.360562452266216 0.4 0.118 0.0931608906237539 7 TPGS1
RNF1812 2.92573413776115e-06 0.29800470751126 0.629 0.212 0.0957826842020245 7 RNF181
HMGN31 3.12618957077658e-06 0.349479254928392 0.657 0.233 0.102345194168084 7 HMGN3
PFKL 3.16208557176808e-06 0.291435645690803 0.371 0.103 0.103520357448543 7 PFKL
GNG52 3.20148259004036e-06 0.599575042913891 0.714 0.288 0.104810137032741 7 GNG5
LGALS32 3.34052594757231e-06 0.269515824736309 0.657 0.241 0.109362138471622 7 LGALS3
EIF61 3.50980029327522e-06 0.375084971958968 0.629 0.22 0.114903842001244 7 EIF6
MFSD1 3.55943378875699e-06 0.298198822750891 0.257 0.058 0.116528743376326 7 MFSD1
POLR2A 3.58129655687872e-06 0.315927025441768 0.286 0.07 0.117244486679095 7 POLR2A
SNAP291 3.75330193000394e-06 0.31314878738184 0.314 0.081 0.122875598584469 7 SNAP29
ATP5B1 4.25723390269594e-06 0.469798910967229 0.829 0.401 0.13937332350646 7 ATP5B
CHPT1 4.3562294152969e-06 0.272204585450141 0.4 0.116 0.14261423859799 7 CHPT1
CLIC13 4.47737682022838e-06 0.38074439261722 1 0.64 0.146580362340637 7 CLIC1
RBM42 4.49794681790293e-06 0.256805899116538 0.314 0.081 0.147253782924506 7 RBM42
MPEG12 4.90889742686483e-06 0.253873992037044 0.371 0.105 0.160707483960701 7 MPEG1
ID22 5.26001135424762e-06 0.538301524281414 0.8 0.382 0.172202251715358 7 ID2
DDIT42 5.53651135328593e-06 0.268842629680341 0.629 0.217 0.181254308683875 7 DDIT4
UCHL3 5.5729279559e-06 0.340247688967691 0.286 0.072 0.182446515420254 7 UCHL3
MYL63 5.71205803543745e-06 0.324952900248621 1 0.851 0.187001355964151 7 MYL6
HMGA1 6.10910704825292e-06 0.318084352008022 0.4 0.118 0.199999946545704 7 HMGA1
FGL22 6.24554065143198e-06 0.282720369023824 0.4 0.123 0.20446650984658 7 FGL2
PPA12 6.33281265389018e-06 0.467204267117284 0.714 0.31 0.207323620663057 7 PPA1
OSTC 6.45021955503893e-06 0.257975128349664 0.543 0.183 0.211167287792865 7 OSTC
ATP5C11 6.4546560925405e-06 0.749786953459293 0.743 0.305 0.211312531157591 7 ATP5C1
YWHAH1 6.58563233952169e-06 0.250126727842612 0.571 0.192 0.215600431531261 7 YWHAH
SH3BGRL33 6.94697258877641e-06 0.345786936946612 1 0.857 0.227429988611362 7 SH3BGRL3
HERPUD11 7.41860425488167e-06 0.542081615268492 0.571 0.207 0.242870266096316 7 HERPUD1
INPP5D 7.43250449951557e-06 0.279613425840753 0.314 0.083 0.243325332305141 7 INPP5D
SCNM1 7.4571767285494e-06 0.281364453019996 0.4 0.119 0.24413305173925 7 SCNM1
TMEM109 7.85488154925957e-06 0.313435731169762 0.4 0.121 0.25715311215966 7 TMEM109
MRPL15 8.12841023371487e-06 0.25408389841624 0.286 0.072 0.266107894231357 7 MRPL15
IFITM32 8.1805467897979e-06 0.564243272542865 0.571 0.221 0.267814740804404 7 IFITM3
RNASET21 8.5220675911796e-06 0.462580514363363 0.914 0.494 0.278995448800038 7 RNASET2
ZNHIT11 1.10882771703605e-05 0.394546185913223 0.686 0.27 0.363008018003261 7 ZNHIT1
CNDP2 1.15152111179887e-05 1.01013135545343 0.343 0.098 0.376984981580715 7 CNDP2
OXA1L 1.1679058157836e-05 0.274001671616707 0.571 0.199 0.382349005971235 7 OXA1L
PPIA1 1.17210133927615e-05 0.356776945193027 0.971 0.74 0.383722536452227 7 PPIA
AOAH1 1.19813196961517e-05 0.287452841805648 0.4 0.123 0.392244444212615 7 AOAH
ACYP2 1.19854015518852e-05 0.312721997752565 0.257 0.063 0.392378076005617 7 ACYP2
RGS191 1.23228074482596e-05 0.350345959532121 0.686 0.265 0.403424070241124 7 RGS19
DCXR 1.31826101701002e-05 0.271604788031295 0.514 0.173 0.431572291748742 7 DCXR
RHOG2 1.35263563188307e-05 0.389421102466822 0.8 0.385 0.442825853165878 7 RHOG
ABI32 1.40360454419075e-05 0.356884727723497 0.486 0.173 0.459512055677166 7 ABI3
MOB1A1 1.47187424602373e-05 0.310395321328377 0.543 0.192 0.481862190663248 7 MOB1A
GRINA1 1.48292145424579e-05 0.280477121602466 0.343 0.099 0.485478825690987 7 GRINA
IRF71 1.60109345416209e-05 0.806835678569586 0.457 0.161 0.524165975023584 7 IRF7
ARL4C2 1.65738054044056e-05 0.513217959894036 0.514 0.194 0.542593241329432 7 ARL4C
LRRC252 1.68647738182103e-05 0.256048252838678 0.343 0.1 0.552118965260567 7 LRRC25
MRPL41 1.80437926357075e-05 0.318059881807698 0.457 0.153 0.590717683307791 7 MRPL41
EIF3L 1.82855029275194e-05 0.527910125215005 0.943 0.542 0.598630794841129 7 EIF3L
BAG11 1.88331916755207e-05 0.27289867519763 0.514 0.173 0.616561029073198 7 BAG1
ATP6V1E1 2.01528774247319e-05 0.320431849426275 0.486 0.167 0.659764901130872 7 ATP6V1E1
CLNS1A 2.10624744463978e-05 0.260607582795679 0.571 0.211 0.689543288426173 7 CLNS1A
PTRHD1 2.56485373729808e-05 0.265534412249764 0.4 0.126 0.839681816516645 7 PTRHD1
MX1 2.71191893128017e-05 0.309952990748902 0.571 0.213 0.887828019722501 7 MX1
CAPNS12 2.7171887348146e-05 0.628062279967538 0.4 0.126 0.889553248003602 7 CAPNS1
PTPN181 2.71908948720903e-05 0.280895582960369 0.429 0.138 0.890175516322492 7 PTPN18
ARPC32 2.94674610132759e-05 0.488473902987026 0.971 0.815 0.964705738652626 7 ARPC3
CBR11 2.98436072317888e-05 0.295096771761763 0.371 0.116 0.977020013554302 7 CBR1
ATP5G31 3.01024797048516e-05 0.406413078656736 0.914 0.426 0.985494980577432 7 ATP5G3
EIF4A3 3.01103661848703e-05 0.339774354209616 0.371 0.117 0.985753168160284 7 EIF4A3
NDUFS4 3.36041321977913e-05 0.339144438236821 0.4 0.13 1 7 NDUFS4
CYCS1 3.44043884251585e-05 0.31967992459131 0.743 0.313 1 7 CYCS
NDUFB51 3.48740788545908e-05 0.333669046077578 0.543 0.209 1 7 NDUFB5
MIR24-21 3.72597571665016e-05 0.381989715465007 0.343 0.108 1 7 MIR24-2
PABPN1 4.17618236314496e-05 0.282082888887519 0.286 0.08 1 7 PABPN1
UBE2A 4.75388684278194e-05 0.310409486571232 0.371 0.12 1 7 UBE2A
SLC31A21 4.82820117903045e-05 0.402222671272873 0.286 0.086 1 7 SLC31A2
NDUFS61 4.91943568110567e-05 0.311761381630866 0.6 0.226 1 7 NDUFS6
SDHD 5.00786986898577e-05 0.336141600444432 0.514 0.191 1 7 SDHD
PHB 5.19639876793854e-05 0.261378289628269 0.571 0.21 1 7 PHB
SEC61B1 5.70054566935364e-05 0.404045377426631 0.743 0.313 1 7 SEC61B
MIR1421 5.71362950760716e-05 0.309340333602454 0.457 0.164 1 7 MIR142
